Indicator_Type,IOC_Label,Indicator_Value,Category,Confidence,Packet_Range_Frames,Time_Range_Seconds,Supporting_Filter,Related_Hypothesis,Notes
IP,Trickbot C2,37.228.70.134,C2,High,791-26477,106-4752,ip.addr==37.228.70.134,Hypothesis 1 (Beaconing),~202s beaconing interval confirmed (modal 201.7-202.1s); no TLS SNI; 952 frames [PCAP-CORRECTED: frame range was 791-26451; time was 0-4809]
IP,Cobalt Strike C2 + Exfil,192.236.155.230,C2+Exfil,High,3049-19069,391-932,ip.addr==192.236.155.230,Hypothesis 1,7.4MB total transfer confirmed; hosts malleable C2 resources (redbutton.png / cutscroll.png); Trickbot downloader UA observed [PCAP-CORRECTED: frames were 1200-24500; time was 150-4600]
IP,Cobalt Strike C2,5.199.162.3,C2,High,22990-26644,3784-4809,tcp.port==80 && ip.addr==5.199.162.3,Hypothesis 1 (CS Phase),2453 frames; CS beacon URI /logo?hour=true at ~5.4s jittered interval; 117 HTTP GET requests; late-stage post-Trickbot CS deployment
IP,Trickbot C2 (Primary),36.95.27.243,C2,High,2895-13213,369-783,ip.addr==36.95.27.243,Hypothesis 1,Trickbot victim reporting (rob87 + tot108 modules); UA Winhttp 1/0; 28 frames [NEW IOC FROM PCAP]
IP,Trickbot C2 (Secondary),103.102.220.50,C2,High,3032-14663,391-811,ip.addr==103.102.220.50,Hypothesis 1,Trickbot victim reporting (secondary C2 mirror); same module paths as 36.95.27.243; 40 frames [NEW IOC FROM PCAP]
IP,Lateral Movement Source,10.5.26.4,Internal Lateral,High,12-25820,0-4514,"ip.addr==10.5.26.4 && ip.addr==10.5.26.132",Hypothesis 2 (Lateral),SMB/SVCCTL/DCERPC/DRSUAPI/KRB5 confirmed across 4865 frames; spans full PCAP duration; svcctl (22 frames) and DRSUAPI (28 frames) indicate PsExec-style exec and DCSync [PCAP-CORRECTED: frames were 4500-8000; time was 300-900]
URI,Cobalt Strike Beacon URI,/logo?hour=true,C2,High,23179-26639,3791-4809,http.request.uri == "/logo?hour=true",Hypothesis 1 (CS Phase),117 HTTP GETs to 5.199.162.3; ~5.4s beacon interval; Cobalt Strike malleable C2 profile URI [NEW IOC FROM PCAP]
URI,Cobalt Strike Staging URI,/as,C2,High,23758-25525,4212-4411,http.request.uri == "/as",Hypothesis 1 (CS Phase),12 requests to 5.199.162.3; CS payload staging endpoint [NEW IOC FROM PCAP]
URI,Trickbot Victim Report (Host 1),/rob87/DESKTOP-OG16DGY_W617601.D5D933B2E59558F3F46D9130BB091D98/90,Data Exfil,High,2910-3045,370-391,http.request.uri contains "rob87",Hypothesis 3,Trickbot module 'rob87' victim reporting; encodes hostname+GUID in path; sent to both C2s (36.95.27.243 and 103.102.220.50) [REPLACES INVALID /collect/.*]
URI,Trickbot Victim Report (DC),/tot108/VICTORYPUNK-DC_W617601.B5EFB19D6BB313B551F3FB5897A283BE/90,Data Exfil,High,13210-14613,783-811,http.request.uri contains "tot108",Hypothesis 3,Trickbot module 'tot108' reporting from VICTORYPUNK-DC after lateral movement; confirms successful DC compromise [REPLACES INVALID /collect/.*]
URI,INVALIDATED IOC,/collect/.*,Data Exfil,INVALID,N/A,N/A,http.request.uri matches "/collect/",Hypothesis 3,NOT FOUND IN PCAP — zero matching frames; original IOC was incorrect; replaced by /rob87/ and /tot108/ URIs above
User-Agent,Cobalt Strike Malleable UA,"Mozilla/5.0 (Linux; Android 7.0; Pixel C Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0",C2,High,23179-26639,3791-4809,http.user_agent contains "Pixel C",Hypothesis 1 (CS Phase),129 frames; all to 5.199.162.3 on port 80; Cobalt Strike Android device emulation UA [PCAP-CORRECTED: original stated Windows NT 10.0 UA which is NOT present in this PCAP]
User-Agent,Trickbot Victim Report UA,Winhttp 1/0,C2,High,2910-14613,370-811,http.user_agent == "Winhttp 1/0",Hypothesis 3,4 frames; Trickbot module victim-reporting UA for /rob87/ and /tot108/ paths [NEW IOC FROM PCAP]
User-Agent,Trickbot Downloader UA,WinHTTP loader/1.0,C2+Exfil,High,5599-17677,436-871,http.user_agent == "WinHTTP loader/1.0",Hypothesis 1,4 frames; fetches malleable C2 resources (redbutton.png / cutscroll.png) from 192.236.155.230 [NEW IOC FROM PCAP]
Port,Cobalt Strike Beacon Port,80,C2,High,22990-26644,3784-4809,tcp.port==80 && ip.addr==5.199.162.3,Hypothesis 1 (CS Phase),2453 frames; short-interval (~5.4s) beaconing; NOT long-lived low-data — corrected characterisation [PCAP-CORRECTED: original stated multiple long sessions / 100-4800s]
DNS,Internal AD Domain,victorypunk.com,Recon+Internal,High,26-25751,0-4500,dns.qry.name contains "victorypunk",Hypothesis 2,"358 DNS queries; _ldap._tcp SRV + VICTORYPUNK-DC host resolution; confirms internal AD structure mapped early in infection [PCAP-CORRECTED: frames were 300-600; time was 20-80s; confidence raised from Low to High - internal AD domain not external recon]"
